# Словарь для импорта: english | русский
# Уклон в общеупотребительную + техническую/программистскую лексику.

# === Глаголы: базовые действия ===
to make | делать / создавать
component | компонент
state ui | состояние
props | свойства (компонента)
hook | хук
render | рендеринг
virtual dom | виртуальный DOM
template engine | шаблонизатор
route | маршрут
routing | маршрутизация
endpoint | конечная точка / эндпоинт
request | запрос
response | ответ
header | заголовок
payload | полезная нагрузка
body request | тело запроса
status code | код состояния
cookie | куки
session | сессия
form data | данные формы
validation | валидация
input | ввод / поле ввода
output | вывод
submit | отправка
upload web | загрузка (на сервер)
download web | скачивание
url | URL / адрес
domain | домен
subdomain | поддомен
host | хост
port | порт
protocol | протокол
api | API
endpoint api | эндпоинт API
rest | REST
graphql | GraphQL
websocket | веб-сокет
ajax | AJAX
json | JSON
xml | XML
yaml | YAML
query string | строка запроса
query parameter | параметр запроса
middleware | промежуточное ПО
controller | контроллер
view | представление
service prog | сервис
proxy server | прокси-сервер
load balancer | балансировщик нагрузки
cdn | сеть доставки контента

# === Базы данных ===
database | база данных
table db | таблица
row | строка (записи)
column | столбец
record | запись
field db | поле
primary key | первичный ключ
foreign key | внешний ключ
index db | индекс
schema | схема
query db | запрос
relation | отношение / связь
join | соединение
transaction | транзакция
commit db | фиксация
rollback db | откат
migration | миграция
seed db | начальные данные
backup db | резервная копия
replication | репликация
shard | шард
constraint | ограничение
trigger db | триггер
view db | представление
stored procedure | хранимая процедура
normalization | нормализация
relational | реляционный
document database | документная БД
collection db | коллекция
aggregation | агрегация
pipeline | конвейер
orm | ORM
connection pool | пул соединений
deadlock db | взаимоблокировка

# === Сети ===
network | сеть
internet | интернет
connection net | соединение
packet | пакет
bandwidth | пропускная способность
latency | задержка
throughput | пропускная способность
firewall | межсетевой экран
router | маршрутизатор
gateway | шлюз
dns | DNS
ip address | IP-адрес
tcp | TCP
udp | UDP
http | HTTP
https | HTTPS
ssl | SSL
certificate net | сертификат
handshake | рукопожатие
timeout | тайм-аут
retry | повтор
ping | пинг
socket net | сокет
stream | поток данных
protocol stack | стек протоколов

# === DevOps, облако, инфраструктура ===
deployment | развёртывание
build | сборка
pipeline ci | конвейер CI/CD
container | контейнер
image | образ
registry | реестр
orchestration | оркестрация
cluster | кластер
node infra | узел
pod | под
scaling | масштабирование
autoscaling | автомасштабирование
load | нагрузка
infrastructure | инфраструктура
provisioning | подготовка ресурсов
environment | окружение / среда
staging | стейджинг
production | продакшен / боевая среда
rollout | выкатка
rollback deploy | откат
monitoring | мониторинг
logging | логирование
log | лог / журнал
metric | метрика
alert | оповещение
dashboard | дашборд / панель
uptime | время работы
downtime | простой
availability | доступность
reliability | надёжность
resilience | устойчивость
redundancy | резервирование
failover | переключение при отказе
health check | проверка работоспособности
cloud | облако
virtual machine | виртуальная машина
serverless | бессерверный
storage bucket | хранилище / бакет
queue infra | очередь
message broker | брокер сообщений
secret | секрет / ключ
config | конфигурация
variable env | переменная окружения

# === Безопасность ===
security | безопасность
authentication | аутентификация
authorization | авторизация
credential | учётные данные
password | пароль
username | имя пользователя
login | вход / логин
logout | выход
permission access | право доступа
access | доступ
role security | роль
token security | токен
session token | токен сессии
encryption | шифрование
decryption | расшифровка
hash function | хеш-функция
salt | соль (хеширования)
signature security | подпись
key crypto | ключ
public key | открытый ключ
private key | закрытый ключ
certificate security | сертификат
vulnerability | уязвимость
exploit | эксплойт
attack security | атака
threat | угроза
breach | утечка / взлом
malware | вредоносное ПО
virus | вирус
phishing | фишинг
injection | инъекция
firewall security | брандмауэр
audit | аудит
compliance | соответствие требованиям

# === Тестирование и качество кода ===
test prog | тест
testing | тестирование
unit test | модульный тест
integration test | интеграционный тест
end-to-end test | сквозной тест
test case | тестовый случай
test suite | набор тестов
assertion | утверждение
mock | заглушка / мок
stub | заглушка
fixture | фикстура
coverage | покрытие
regression | регрессия
edge case | граничный случай
corner case | особый случай
happy path | основной сценарий
failing test | падающий тест
flaky test | нестабильный тест
smoke test | дымовой тест
load test | нагрузочное тестирование
stress test | стресс-тест
benchmark | бенчмарк
profiling | профилирование
linting | проверка стиля
formatting | форматирование
code review | ревью кода
pull request | пулреквест
merge request | запрос на слияние
feedback | обратная связь
refactoring | рефакторинг
technical debt | технический долг
code smell | запах кода
boilerplate | шаблонный код
documentation | документация
readme | README / описание
changelog | список изменений
specification | спецификация
requirement | требование
acceptance criteria | критерии приёмки

# === Алгоритмы и структуры данных ===
algorithm | алгоритм
data structure | структура данных
complexity | сложность
time complexity | временная сложность
space complexity | пространственная сложность
big o notation | О-нотация
linear | линейный
logarithmic | логарифмический
constant time | константное время
quadratic | квадратичный
search algorithm | алгоритм поиска
binary search | двоичный поиск
linear search | линейный поиск
sorting | сортировка
sort algorithm | алгоритм сортировки
quicksort | быстрая сортировка
merge sort | сортировка слиянием
bubble sort | пузырьковая сортировка
traversal | обход
depth-first | поиск в глубину
breadth-first | поиск в ширину
linked list | связный список
doubly linked list | двусвязный список
binary tree | двоичное дерево
balanced tree | сбалансированное дерево
hash map | хеш-таблица
priority queue | очередь с приоритетом
matrix | матрица
vector | вектор
adjacency | смежность
recursion algo | рекурсия
backtracking | поиск с возвратом
dynamic programming | динамическое программирование
greedy | жадный алгоритм
divide and conquer | разделяй и властвуй
memoization | мемоизация
pointer arithmetic | арифметика указателей
swap | обмен
partition algo | разбиение
pivot | опорный элемент

# === Паттерны проектирования и архитектура ===
design pattern | паттерн проектирования
architecture | архитектура
singleton | одиночка
factory | фабрика
observer | наблюдатель
strategy pattern | стратегия
adapter | адаптер
decorator | декоратор
facade | фасад
proxy pattern | заместитель
builder | строитель
prototype | прототип
dependency injection | внедрение зависимостей
inversion of control | инверсия управления
separation of concerns | разделение ответственности
single responsibility | единственная ответственность
coupling | связанность
cohesion | связность
modularity | модульность
abstraction layer | уровень абстракции
microservice | микросервис
monolith | монолит
event-driven | событийно-ориентированный
message queue | очередь сообщений
publish-subscribe | издатель-подписчик
client-server | клиент-сервер
peer-to-peer | одноранговый
stateless | без состояния
stateful | с состоянием
idempotent | идемпотентный
scalability | масштабируемость
maintainability | сопровождаемость
extensibility | расширяемость
backward compatibility | обратная совместимость
breaking change | ломающее изменение

# === Git и контроль версий ===
version control | контроль версий
repository | репозиторий
repo | репозиторий
commit version | коммит
branch | ветка
master branch | главная ветка
merge git | слияние
conflict | конфликт
rebase | перебазирование
checkout git | переключение
clone repo | клонирование
fork repo | форк
pull git | подтягивание изменений
push git | отправка изменений
fetch git | получение изменений
to stage | индексировать
staging area | область индексирования
working directory | рабочая директория
diff | различие
patch git | патч
tag git | тег
history | история
revert | откат коммита
cherry-pick | выбор коммита
blame | авторство строк
remote git | удалённый репозиторий
origin | источник / origin
upstream | вышестоящий репозиторий

# === ИИ, машинное обучение, данные ===
artificial intelligence | искусственный интеллект
machine learning | машинное обучение
deep learning | глубокое обучение
neural network | нейронная сеть
model ml | модель
training data | обучающие данные
dataset | набор данных
feature ml | признак
label | метка
prediction | предсказание
classification | классификация
regression ml | регрессия
clustering | кластеризация
overfitting | переобучение
underfitting | недообучение
accuracy | точность
precision ml | точность (precision)
recall | полнота
loss function | функция потерь
gradient | градиент
weight ml | вес
bias | смещение
layer | слой
activation | активация
backpropagation | обратное распространение
inference | вывод / инференс
embedding | вложение / эмбеддинг
token ml | токен
prompt | промпт / запрос
fine-tuning | дообучение
parameter ml | параметр
hyperparameter | гиперпараметр
epoch | эпоха
batch ml | пакет / батч
data science | наука о данных
big data | большие данные
data pipeline | конвейер данных
preprocessing | предобработка
transformation | преобразование

# === Инструменты и среда разработки ===
editor | редактор
ide | среда разработки
terminal | терминал
shell | оболочка
command | команда
command line | командная строка
prompt cli | приглашение командной строки
script | скрипт
compiler | компилятор
interpreter | интерпретатор
debugger | отладчик
breakpoint | точка останова
stack trace | трассировка стека
log output | вывод журнала
console | консоль
output stream | поток вывода
error message | сообщение об ошибке
warning | предупреждение
exception | исключение
runtime | время выполнения
compile time | время компиляции
build tool | инструмент сборки
package manager | менеджер пакетов
dependency manager | менеджер зависимостей
virtual environment | виртуальное окружение
sandbox | песочница
emulator | эмулятор
simulator | симулятор
profiler | профилировщик
formatter | форматировщик
linter | линтер
plugin | плагин
extension tool | расширение
snippet | сниппет
keybinding | сочетание клавиш
autocomplete | автодополнение
syntax highlighting | подсветка синтаксиса

# === UI/UX и мобильная разработка ===
interface ui | интерфейс
user experience | пользовательский опыт
usability | удобство использования
wireframe | каркас / вайрфрейм
mockup | макет
prototype ui | прототип
layout ui | компоновка
grid | сетка
spacing | отступы
padding | внутренний отступ
margin | внешний отступ
alignment | выравнивание
font | шрифт
typography | типографика
color scheme | цветовая схема
theme ui | тема
dark mode | тёмная тема
animation | анимация
transition ui | переход
gesture | жест
tap | касание
swipe | смахивание
scroll | прокрутка
drag and drop | перетаскивание
modal | модальное окно
dialog | диалоговое окно
tooltip | всплывающая подсказка
notification | уведомление
badge | значок
spinner | индикатор загрузки
progress bar | индикатор выполнения
placeholder | заполнитель
checkbox | флажок
radio button | переключатель
dropdown | выпадающий список
slider | ползунок
toggle | переключатель
breadcrumb | хлебные крошки
sidebar | боковая панель
navbar | панель навигации
footer ui | подвал
mobile | мобильный
native app | нативное приложение
cross-platform | кроссплатформенный
responsive design | адаптивный дизайн
viewport | область просмотра
pixel | пиксель
resolution | разрешение
orientation | ориентация

# === Фразовые глаголы (очень частотные) ===
to set up | настраивать / устанавливать
to shut down | выключать
to turn on | включать
to turn off | выключать
to log in to | входить в
to sign up | регистрироваться
to sign in | входить
to sign out | выходить
to back up | резервировать
to carry out | выполнять
to figure out | разбираться / выяснять
to find out | узнавать
to work out | разбираться / решать
to sort out | улаживать
to point out | указывать
to bring up | поднимать (тему)
to come up with | придумывать
to end up | в итоге оказаться
to give up | сдаваться
to go on | продолжать
to go through | проходить через / просматривать
to look up | искать (в справочнике)
to look into | изучать
to look for | искать
to look after | заботиться
to take care of | заботиться о
to take over | брать на себя
to take off | взлетать / снимать
to take out | вынимать
to put off | откладывать
to put up with | мириться с
to break down | ломаться / разбивать
to break up | расставаться / разбивать
to call off | отменять
to check out | проверять / выезжать
to check in | регистрироваться
to fill out | заполнять
to hand in | сдавать
to hand out | раздавать
to hold on | подождать / держаться
to keep up | поспевать
to keep on | продолжать
to move on | двигаться дальше
to pass on | передавать
to pick up | подбирать / забирать
to run out of | заканчиваться
to run into | случайно встретить
to show up | появляться
to throw away | выбрасывать
to turn out | оказываться
to turn down | отклонять / убавлять
to turn up | прибавлять / появляться
to get up | вставать
to get along | ладить
to get back | возвращаться
to get rid of | избавляться от
to get over | преодолевать
to go ahead | приступать
to go back | возвращаться
to come across | натыкаться на
to come back | возвращаться
to come in | входить
to deal with | иметь дело с
to focus on | сосредоточиться на
to rely on | полагаться на
to depend on | зависеть от
to result in | приводить к
to lead to | приводить к
to cut down on | сокращать
to catch up | догонять
to warm up | разогревать
to cool down | остывать
to speed up dev | ускорять
to slow down dev | замедлять
to roll out | выкатывать
to scale up | масштабировать вверх
to scale down | масштабировать вниз
to spin up | поднимать (сервер)
to tear down | разбирать / сносить
to opt in | подключаться
to opt out | отказываться
to phase out | постепенно убирать
to plug in | подключать
to roll back | откатывать

# === Полезные выражения и связки ===
for example | например
for instance | к примеру
in other words | иными словами
that is | то есть
in fact | на самом деле
in general | в общем
in particular | в частности
on the other hand | с другой стороны
on the contrary | напротив
as a result | в результате
as a matter of fact | собственно говоря
at least | по крайней мере
at most | самое большее
at the same time | в то же время
by the way | кстати
in addition | вдобавок
in contrast | в отличие
in short | короче говоря
in summary | подведём итог
to sum up | подводя итог
on purpose | намеренно
by accident | случайно
by chance | случайно
of course | конечно
no matter | неважно
as well | также
as well as | а также
such as | такой как
according to | согласно
due to | из-за
instead of | вместо
in order to | чтобы
so that | чтобы / так чтобы
as soon as | как только
as long as | пока / при условии
even though | хотя
even if | даже если
as if | как будто
rather than | а не / вместо
in case | на случай
in spite of | несмотря на
regardless of | независимо от
on average | в среднем
up to date | актуальный
out of date | устаревший
out of order | неисправен
out of stock | нет в наличии
in stock | в наличии
on demand | по запросу
on time | вовремя
in time | вовремя / успеть
ahead of time | заранее
right now | прямо сейчас
so far | пока что
from scratch | с нуля
step by step | шаг за шагом
more or less | более-менее
a lot of | много
a couple of | пара / несколько
plenty of | множество
the same as | такой же как
as usual | как обычно
to make sense | иметь смысл
to make sure | убедиться
to take place | происходить
to take time | занимать время
to keep in mind | иметь в виду
to pay attention | обращать внимание
on second thought | если подумать
in the meantime | тем временем
sooner or later | рано или поздно
once in a while | время от времени
in the long run | в долгосрочной перспективе
at first glance | на первый взгляд

# === Технические выражения и фразы ===
out of the box | из коробки
under the hood | под капотом
edge case handling | обработка крайних случаев
race to the bottom | гонка ко дну
single source of truth | единый источник истины
separation of duties | разделение обязанностей
to fail fast | быстро падать (при ошибке)
to fail gracefully | корректно обрабатывать сбой
backward-compatible | обратно совместимый
forward-compatible | совместимый с будущим
plug and play | подключи и работай
drag-and-drop interface | интерфейс перетаскивания
to copy and paste | копировать и вставить
trial and error | метод проб и ошибок
proof of concept | проверка концепции
minimum viable product | минимально жизнеспособный продукт
work in progress | в процессе работы
ready to ship | готово к выпуску
known issue | известная проблема
root cause | первопричина
side note | примечание
rule of thumb | эмпирическое правило
best practice | лучшая практика
good practice | хорошая практика
common pitfall | частая ошибка
quick fix | быстрое решение
workaround | обходной путь
hotfix | срочное исправление
performance bottleneck | узкое место производительности
memory leak | утечка памяти
stack overflow | переполнение стека
buffer overflow | переполнение буфера
null pointer | нулевой указатель
infinite loop | бесконечный цикл
off by one | ошибка на единицу
default behavior | поведение по умолчанию
expected behavior | ожидаемое поведение
unexpected behavior | неожиданное поведение
side-effect free | без побочных эффектов
read-only | только для чтения
write access | доступ на запись
case sensitive | чувствительный к регистру
case insensitive | нечувствительный к регистру

# === Город, транспорт, путешествия ===
street | улица
road | дорога
avenue | проспект
square place | площадь
bridge | мост
building | здание
tower | башня
station | станция / вокзал
airport | аэропорт
port | порт
parking | парковка
traffic | движение / пробки
crossing | перекрёсток / переход
sidewalk | тротуар
sign road | знак
map travel | карта
route travel | маршрут
ticket | билет
passport | паспорт
luggage | багаж
suitcase | чемодан
backpack | рюкзак
journey | путешествие
trip | поездка
tour | тур / экскурсия
flight | рейс / полёт
gate | выход (на посадку)
seat | место / сиденье
vehicle | транспортное средство
car | автомобиль
bus | автобус
train | поезд
plane | самолёт
ship | корабль
boat | лодка
bicycle | велосипед
motorcycle | мотоцикл
taxi | такси
subway | метро
truck | грузовик
engine | двигатель
wheel | колесо
fuel | топливо
speed limit | ограничение скорости
hotel | отель
room hotel | номер
reservation | бронирование
destination | пункт назначение
arrival | прибытие
departure | отправление
delay travel | задержка

# === Покупки, повседневное ===
shop | магазин
store | магазин
mall | торговый центр
market place | рынок
shopping | покупки
cart | корзина (покупок)
checkout shop | оформление заказа
order shop | заказ
delivery | доставка
return goods | возврат
refund | возмещение
discount | скидка
sale | распродажа
offer shop | предложение
coupon | купон
warranty | гарантия
brand new | новенький
secondhand | бывший в употреблении
shelf shop | полка
aisle | проход (между полками)
counter | прилавок / стойка
cashier | кассир
change money | сдача
wallet | кошелёк
purse | кошелёк / сумочка
gift | подарок
package shop | посылка / упаковка

# === Интернет, медиа, общение ===
account online | аккаунт
profile | профиль
post | пост / публикация
comment | комментарий
like social | лайк
follower | подписчик
feed | лента
to share social | поделиться
tag social | отметка / тег
hashtag | хештег
link url | ссылка
search engine | поисковая система
keyword search | ключевое слово
content | контент / содержимое
media | медиа
stream media | трансляция
video | видео
audio | аудио
podcast | подкаст
photo | фотография
image media | изображение
file upload | загружаемый файл
attachment | вложение
chat | чат
group chat | групповой чат
direct message | личное сообщение
inbox | входящие
spam | спам
subscription | подписка
newsletter | рассылка
advertisement online | реклама
banner | баннер
pop-up | всплывающее окно
bookmark | закладка
tab browser | вкладка
refresh | обновление страницы
loading | загрузка
offline | офлайн
online | онлайн
status online | статус
username online | имя пользователя
avatar | аватар
emoji | эмодзи
trending | в тренде
viral | вирусный

# === Программирование: данные и форматы ===
data | данные
metadata | метаданные
field value | значение поля
key-value pair | пара ключ-значение
nested | вложенный
flat structure | плоская структура
array index | индекс массива
list comprehension | списковое включение
generator | генератор
iterator | итератор
enumerate | перечисление
slice | срез
concatenation | конкатенация
interpolation | интерполяция
substring | подстрока
prefix | префикс
suffix | суффикс
delimiter | разделитель
separator | разделитель
regular expression | регулярное выражение
regex | регулярка
pattern matching | сопоставление с образцом
wildcard | подстановочный знак
placeholder var | заполнитель
format string | строка формата
raw string | сырая строка
byte array | массив байтов
stream data | поток данных
chunk | блок / порция
batch process | пакетная обработка
parse error | ошибка разбора
schema validation | проверка по схеме
serialization | сериализация
deserialization | десериализация
marshalling | маршалинг
checksum | контрольная сумма
hash value | хеш-значение
unique identifier | уникальный идентификатор
uuid | UUID
timestamp | временная метка
epoch time | время эпохи
locale | локаль
timezone | часовой пояс
charset | набор символов
mime type | MIME-тип

# === Программирование: процесс и поведение ===
input data | входные данные
output data | выходные данные
return statement | оператор возврата
early return | ранний возврат
fall through | проваливание (switch)
short circuit | короткое замыкание (логики)
lazy evaluation | ленивое вычисление
eager evaluation | энергичное вычисление
deep copy | глубокая копия
shallow copy | поверхностная копия
pass by value | передача по значению
pass by reference | передача по ссылке
garbage collection | сборка мусора
memory management | управление памятью
allocation | выделение (памяти)
deallocation | освобождение (памяти)
stack frame | кадр стека
call stack | стек вызовов
recursion depth | глубина рекурсии
base case | базовый случай
invariant | инвариант
precondition | предусловие
postcondition | постусловие
assertion error | ошибка утверждения
graceful shutdown | корректное завершение
idempotency | идемпотентность
throttling | ограничение частоты
rate limit | лимит запросов
debounce | устранение дребезга
backoff | задержка перед повтором
circuit breaker | предохранитель
retry logic | логика повторов
fallback | запасной вариант
feature toggle | переключатель функции
hot reload | горячая перезагрузка
live reload | живая перезагрузка
watch mode | режим наблюдения
dry run | пробный запуск
verbose | подробный (вывод)
silent mode | тихий режим

# === Наука и измерения (расширение) ===
unit | единица (измерения)
measurement | измерение
scale science | шкала
degree | градус
celsius | Цельсий
meter | метр
kilometer | километр
centimeter | сантиметр
gram | грамм
kilogram | килограмм
liter | литр
joule | джоуль
watt | ватт
volt | вольт
ampere | ампер
frequency | частота
wavelength | длина волны
energy science | энергия
matter | материя / вещество
liquid | жидкость
solid | твёрдое тело
gas | газ
reaction | реакция
acid | кислота
metal | металл
oxygen | кислород
hydrogen | водород
carbon | углерод
light science | свет
radiation | излучение
magnet | магнит
electricity | электричество
circuit | электрическая цепь
current | ток
charge | заряд
voltage | напряжение
sensor | датчик
signal | сигнал
frequency band | диапазон частот

# === Спорт, хобби, искусство ===
sport | спорт
game | игра
match game | матч
team sport | командный спорт
player | игрок
coach | тренер
referee | судья
score | счёт
goal sport | гол / ворота
ball | мяч
field sport | поле
gym | спортзал
training session | тренировка
fitness | фитнес
running | бег
swimming | плавание
cycling | велоспорт
football | футбол
basketball | баскетбол
tennis | теннис
chess | шахматы
hobby | хобби
music | музыка
song | песня
band | группа (музыкальная)
instrument | инструмент
guitar | гитара
piano | пианино
drum | барабан
melody | мелодия
rhythm | ритм
art | искусство
painting | картина / живопись
drawing | рисунок
sculpture | скульптура
museum | музей
gallery | галерея
theater | театр
movie | фильм
film | фильм
actor role | роль актёра
director film | режиссёр
scene | сцена
story | история / рассказ
novel | роман
poem | стихотворение
author | автор
character story | персонаж
plot | сюжет
dance | танец
photography | фотография
camera | камера

# === Дополнительные частотные слова ===
thing | вещь
stuff | вещи / штуки
item | предмет / элемент
part | часть
piece | кусок / часть
section | раздел
side | сторона
top | верх
bottom | низ
edge | край
center | центр
corner | угол
front | перёд
end side | конец
beginning side | начало
place | место
spot | место / точка
position place | положение
level | уровень
stage | этап / стадия
step | шаг
turn step | очередь / поворот
way | путь / способ
manner | манера / способ
kind | вид / тип
sort kind | вид / сорт
form shape | форма
example case | пример
case | случай
event happening | событие
action | действие
activity | деятельность
behavior thing | поведение
movement | движение
event general | мероприятие
moment time | момент
fact thing | факт
point idea | суть / момент
matter subject | вопрос / дело
topic | тема
theme | тема
field area | область
subject area | предмет
scope area | рамки / охват
view opinion | взгляд / мнение
sense meaning | смысл
word meaning | значение слова
name | имя / название
title | заголовок / звание
label tag | ярлык
sign symbol | знак
symbol | символ
mark | отметка
note thing | заметка
record thing | запись
copy | копия
original | оригинал
version thing | вариант / версия

# === Дополнительные глаголы ===
to consider | рассматривать
to assume | предполагать
to expect | ожидать
to suppose | полагать
to imagine | представлять
to guess | угадывать / предполагать
to realize | осознавать
to wonder | интересоваться / гадать
to mention | упоминать
to note down | записывать
to define | определять
to refer | ссылаться
to relate | связывать / относиться
to apply to | относиться к
to affect | влиять
to depend | зависеть
to cause to | вызывать
to allow for | учитывать
to indicate | указывать
to imply | подразумевать
to reveal | раскрывать
to expose | раскрывать / подвергать
to demonstrate | демонстрировать
to illustrate | иллюстрировать
to clarify | прояснять
to emphasize | подчёркивать
to highlight | выделять
to focus | сосредотачивать
to ignore | игнорировать
to skip | пропускать
to omit | опускать / пропускать
to delay action | откладывать
to hesitate | колебаться
to struggle | бороться / с трудом справляться
to manage to | суметь
to succeed | преуспевать
to fail | терпеть неудачу
to afford | позволять себе
to deserve | заслуживать
to owe | быть должным
to predict | предсказывать
to prevent from | мешать
to encourage | поощрять
to motivate | мотивировать
to inspire | вдохновлять
to convince | убеждать
to persuade | уговаривать
to influence verb | влиять
to impress | впечатлять
to satisfy | удовлетворять
to disappoint | разочаровывать
to surprise verb | удивлять
to confuse | сбивать с толку
to bother | беспокоить
to annoy | раздражать
to frustrate | расстраивать
to threaten | угрожать
to blame | обвинять
to accuse | обвинять
to forgive | прощать
to trust verb | доверять
to suspect | подозревать
to ensure | обеспечивать
to guarantee | гарантировать
to remain | оставаться
to exist | существовать
to occur to | приходить в голову
to arise | возникать
to involve in | вовлекать в
to consist of | состоять из
to depend upon | полагаться на
to contribute to | способствовать
to react | реагировать
to respond to | отвечать на
to adapt | адаптировать
to adjust | регулировать / настраивать
to modify | изменять
to transform | преобразовывать
to convert | преобразовывать
to translate | переводить
to interpret | интерпретировать
to represent | представлять
to reflect | отражать
to contain within | содержать в себе
to generate | генерировать
to produce | производить
to construct | конструировать
to assemble | собирать
to disassemble | разбирать
to combine into | объединять в
to integrate | интегрировать
to coordinate | координировать
to synchronize | синхронизировать
to align | выравнивать
to distribute | распределять
to assign | назначать
to delegate | делегировать
to prioritize | расставлять приоритеты
to evaluate | оценивать
to assess | оценивать
to analyze | анализировать
to investigate | расследовать
to examine | исследовать
to inspect | осматривать
to observe | наблюдать
to record action | записывать / фиксировать
to track | отслеживать
to measure out | отмерять

# === Дополнительные технические термины ===
codebase | кодовая база
snippet code | фрагмент кода
function call | вызов функции
return type | тип возврата
signature | сигнатура
overload signature | перегрузка сигнатуры
parameter list | список параметров
default argument | аргумент по умолчанию
keyword argument | именованный аргумент
positional argument | позиционный аргумент
variadic | переменное число аргументов
anonymous function | анонимная функция
lambda | лямбда
arrow function | стрелочная функция
first-class function | функция первого класса
type annotation | аннотация типа
type inference | вывод типа
type checking | проверка типов
static typing | статическая типизация
dynamic typing | динамическая типизация
strong typing | строгая типизация
weak typing | слабая типизация
type cast | приведение типа
type coercion | неявное приведение
enum | перечисление
struct | структура
union type | объединение типов
generic type | обобщённый тип
type parameter | параметр типа
nullable | допускающий null
optional | необязательный
default export | экспорт по умолчанию
named export | именованный экспорт
re-export | реэкспорт
circular dependency | циклическая зависимость
side module | вспомогательный модуль
entry point | точка входа
build artifact | артефакт сборки
bundle | бандл / пакет
minification | минификация
tree shaking | устранение мёртвого кода
source map | карта исходников
transpile | транспиляция
polyfill | полифил
shim | прослойка
hot module replacement | горячая замена модулей
watcher | наблюдатель за файлами
file watcher | отслеживание файлов
glob pattern | шаблон путей
working tree | рабочее дерево
detached head | отсоединённый HEAD
merge conflict | конфликт слияния
fast-forward | перемотка вперёд
squash | сжатие коммитов
amend | правка коммита
hunk | фрагмент изменений
patch file | файл патча

# === Сервер, API, HTTP (расширение) ===
endpoint http | конечная точка
http method | HTTP-метод
get request | GET-запрос
post request | POST-запрос
put request | PUT-запрос
delete request | DELETE-запрос
patch request | PATCH-запрос
request header | заголовок запроса
response header | заголовок ответа
content type | тип содержимого
status ok | статус 200
not found | не найдено (404)
bad request | неверный запрос (400)
unauthorized | не авторизован (401)
forbidden | запрещено (403)
server error | ошибка сервера (500)
redirect | перенаправление
caching header | заголовок кэширования
rate limiting | ограничение запросов
pagination | пагинация
sorting param | параметр сортировки
filtering | фильтрация
query builder | построитель запросов
request body | тело запроса
response body | тело ответа
api key | ключ API
bearer token | токен Bearer
refresh token | токен обновления
access token | токен доступа
oauth | OAuth
webhook | веб-хук
callback url | URL обратного вызова
idempotency key | ключ идемпотентности
content negotiation | согласование содержимого
cors | CORS
preflight | предварительный запрос

# === Дополнительные прилагательные (технические качества) ===
scalable | масштабируемый
maintainable | сопровождаемый
testable | тестируемый
readable | читаемый
reusable | переиспользуемый
configurable | настраиваемый
extensible | расширяемый
portable | переносимый
compatible | совместимый
deprecated | устаревший
experimental | экспериментальный
stable release | стабильный
unstable build | нестабильный
verbose mode | подробный
concise | лаконичный
redundant | избыточный
optional param | необязательный
required field | обязательный
mandatory | обязательный
nullable field | обнуляемый
immutable | неизменяемый
mutable state | изменяемый
synchronous | синхронный
asynchronous | асинхронный
blocking | блокирующий
non-blocking | неблокирующий
thread-safe | потокобезопасный
deterministic | детерминированный
non-deterministic | недетерминированный
backward compatible | обратно совместимый
forward compatible | прямо совместимый
human-readable | удобочитаемый
machine-readable | машиночитаемый

# === Числа и порядок ===
zero | ноль
one | один
two | два
three | три
four | четыре
five | пять
ten | десять
hundred | сто
thousand | тысяча
million | миллион
billion | миллиард
first | первый
second order | второй
third order | третий
last | последний
next order | следующий
previous order | предыдущий
once | однажды / один раз
twice | дважды
double amount | вдвое
triple | втрое
single one | единичный
both | оба
each | каждый
every | каждый
none | ни один
all | все
some | некоторые
any | любой
most | большинство
least | наименьший
more | больше
less | меньше
equal amount | равный

# === Финал: разное полезное ===
goal setting | постановка целей
to-do list | список дел
checklist | контрольный список
reminder | напоминание
appointment | приём / встреча
agenda | повестка дня
minutes meeting | протокол встречи
follow-up | последующие действия
update status | обновление статуса
status report | отчёт о статусе
milestone | веха
roadmap | дорожная карта
backlog | бэклог
sprint | спринт
standup | планёрка
retrospective | ретроспектива
stakeholder | заинтересованная сторона
scope creep | расползание границ
trade-off | компромисс
constraint biz | ограничение
assumption | допущение
estimate biz | оценка
forecast | прогноз
metric biz | показатель
benchmark biz | эталон
baseline | базовый уровень
threshold | порог
trend | тенденция
insight | вывод / инсайт
takeaway | главный вывод
overview | обзор
summary | сводка
breakdown | разбивка
highlight biz | ключевой момент
bottleneck | узкое место
workflow | рабочий процесс
process flow | ход процесса
handoff | передача дел
ownership | ответственность / владение
accountability | подотчётность
alignment biz | согласованность
buy-in | поддержка / согласие
onboarding | адаптация / онбординг
offboarding | отключение сотрудника
headcount | штат
turnover | текучка / оборот
retention | удержание
engagement | вовлечённость
churn | отток
conversion | конверсия
funnel | воронка
lead | лид / зацепка
pipeline sales | воронка продаж
quota | квота
margin | маржа
overhead | накладные расходы
cash flow | денежный поток
break-even | точка безубыточности
valuation | оценка стоимости
equity | доля / капитал
stake | доля
share stock | акция
shareholder | акционер
dividend | дивиденд
merger | слияние
acquisition | поглощение
partnership | партнёрство
vendor | поставщик
supplier | поставщик
contractor | подрядчик
freelancer | фрилансер
remote work | удалённая работа
hybrid work | гибридная работа
overtime | сверхурочные
shift | смена
break time | перерыв
leave | отпуск
vacation | отпуск
sick leave | больничный
benefits | льготы / соцпакет
raise pay | повышение зарплаты
performance review | оценка работы
